iter	Passed	Remaining
0	1	111
1	2	106
2	3	99
3	3	90
4	4	89
5	5	88
6	6	85
7	7	85
8	8	90
9	9	85
10	9	80
11	10	77
12	11	73
13	11	70
14	12	68
15	12	66
16	13	64
17	13	62
18	14	60
19	14	58
20	15	56
21	15	55
22	16	53
23	16	52
24	17	51
25	17	50
26	18	49
27	24	63
28	25	61
29	25	60
30	26	58
31	26	57
32	27	55
33	28	54
34	28	53
35	29	51
36	29	50
37	30	48
38	30	47
39	31	46
40	31	45
41	31	43
42	32	42
43	32	41
44	33	41
45	34	40
46	34	39
47	35	38
48	35	37
49	36	36
50	36	35
51	37	34
52	37	33
53	38	32
54	38	31
55	39	30
56	39	30
57	40	29
58	40	28
59	41	27
60	41	26
61	42	25
62	42	25
63	43	24
64	43	23
65	44	22
66	44	22
67	45	21
68	45	20
69	46	19
70	46	19
71	47	18
72	47	17
73	48	17
74	48	16
75	49	15
76	49	14
77	50	14
78	51	13
79	52	13
80	52	12
81	53	11
82	53	11
83	54	10
84	54	9
85	55	8
86	55	8
87	56	7
88	56	7
89	57	6
90	58	5
91	58	5
92	59	4
93	59	3
94	60	3
95	60	2
96	61	1
97	61	1
98	62	0
99	62	0
